"<ID|readonly|noverify>";"<English>";"<Russian>";"<German>";"<French>";"<Spanish>";"<Japanese>";"<Korean>";"<Chinese>";"<HChinese>";"<Polish>"
"Yes";"Yes";"Да";"Ja";"Oui";"Sí";"はい";"예";"是";"是";"Tak"
"No";"No";"Нет";"Nein";"Non";"No";"いいえ";"아니요";"否";"否";"Nie"
"Apply";"Apply";"Применить";"Verwenden";"Appliquer";"Aplicar";"適用";"적용";"应\t用";"应\t用";"Zastosuj"
"Ok";"OK";"ОК";"OK";"OK";"OK";"OK";"확인";"确\t定";"确\t定";"OK"
"Cancel";"Cancel";"Отмена";"Abbrechen";"Annuler";"Cancelar";"キャンセル";"취소";"取\t消";"取\t消";"Anuluj"
"pressToCancel";"Press to cancel";"Нажмите для отмены";"Zum Abbrechen drücken";"Appuyer pour annuler";"Presiona para cancelar";"キャンセルするには\t押してください";"눌러서 취소";"按\t下\t以\t取\t消";"按\t下\t以\t取\t消";"Naciśnij, aby anulować"
"Close";"Close";"Закрыть";"Schließen";"Fermer";"Cerrar";"閉じる";"닫기";"关\t闭";"关\t闭";"Zamknij"
"Skip";"Skip";"Пропустить";"Überspringen";"Passer";"Omitir";"スキップ";"건너뛰기";"跳\t过";"跳\t过";"Pomiń"
"exit_game_confirmation";"Are you sure you want to exit the game?";"Вы уверены что хотите выйти из игры?";"Möchtest du das Spiel wirklich verlassen?";"Voulez-vous vraiment quitter le jeu ?";"¿Estás seguro de que quieres salir del juego?";"本当に\tゲームを\t終了しますか？";"정말로 게임을 종료하시겠습니까?";"确\t定\t要\t退\t出\t游\t戏\t吗？";"再\t考\t虑\t一\t下，\t是\t否\t要\t退\t出\t游\t戏？";"Czy na pewno chcesz opuścić grę?"
"btnClose";"Close";"Закрыть";"Schließen";"Fermer";"Cerrar";"閉じる";"닫기";"关\t闭";"关\t闭";"Zamknij"
"btnDisbandAndContinue";"Disband and continue";"Распустить и продолжить";"Auflösen und fortsetzen";"Dissoudre et continuer";"Desbandar y continuar";"解散して\t続ける";"해산 후 계속 진행";"解\t散\t并\t继\t续";"解\t绑\t并\t继\t续";"Rozwiąż i kontynuuj"
"DeselectAll";"Select none";"Снять выделение";"Nichts wählen";"Désélectionner tout";"Seleccionar nada";"いずれも\t選択しない";"선택 안 함";"全\t不\t选";"全\t部\t弃\t选";"Odznacz wszystko"
"SelectAll";"Select all";"Выделить все";"Alles wählen";"Sélectionner tout";"Seleccionar todo";"全て\t選択";"모두 선택";"全\t选";"全\t部\t选\t择";"Zaznacz wszystko"
"PressToContinue";"Press to continue";"Нажмите для продолжения";"Drücke um fortzufahren";"Appuyez pour continuer";"Presiona para continuar";"押して\t続行";"눌러서 계속";"按\t键\t继\t续";"按\t键\t继\t续";"Wciśnij, aby kontynuować"
"PressSpaceToContinue";"Press 'Space' to continue";"Нажмите 'Пробел' для продолжения";"Drücke die Leertaste um fortzufahren";"Appuyez sur ""Espace"" pour continuer";"Presiona ""Espacio"" para continuar";"「スペース」\tを\t押して\t続行";"'스페이스 바' 를 눌러 계속";"按 空\t格 继\t续";"按 “空\t格\t键” 继\t续";"Wciśnij Spację, aby kontynuować"
"HoldToSkip";"Hold to go to the next step";"Удерживайте, чтобы пропустить шаг";"Halten um fortzufahren";"Maintenir pour continuer";"Mantén para continuar";"長押しで\t続行";"길게 눌러서 계속";"按\t住\t以\t继\t续";"按\t键\t继\t续";"Przytrzymaj, aby kontynuować"
"video/resolution_overlarge";"Requested video resolution does not fit on the screen. It is too large. Are you sure?";"Запрошенное разрешение графики слишком велико и не помещается на экране. Вы уверены?";"Gewünschte Auflösung passt nicht auf dem Bildschirm, sie ist zu groß. Bist du dir sicher?";"La résolution vidéo souhaitée n'est pas adaptée à l'écran. Elle est trop grande. Êtes-vous sûr?";"La resolución de vídeo solicitada no cabe en la pantalla. Es demasiado grande. ¿Estás seguro?";"選択した\tビデオ\t解像度は\t大きすぎるため、\t画面に\t適していません。\t続けますか？";"현재 설정한 해상도가 이 화면에 맞지 않습니다. 정말 적용하시겠습니까?";"设\t定\t的\t分\t辨\t率\t超\t出\t屏\t幕\t范\t围，\t是\t否\t确\t认\t应\t用？";"设\t定\t中\t画\t面\t分\t辨\t率\t超\t出\t屏\t幕\t范\t围，\t是\t否\t继\t续\t套\t用\t设\t定？";"Żądana rozdzielczość wideo nie mieści się na ekranie, Jest zbyt duża. Czy jesteś pewien?"
"video/resolution_overlarge_hdr";"Attention!";"Внимание!";"Achtung!";"Attention!";"¡Atención!";"注意！";"주의!";"注\t意！";"请\t注\t意！";"Uwaga!"
"video/outdated_driver";"You use an outdated driver. This may cause errors. Please update your driver version.";"Вы используете устаревший драйвер. Это может привести к ошибкам. Пожалуйста, обновите версию драйвера.";"Du verwendest einen veralteten Treiber, was zu Fehlern führen kann. Bitte aktualisiere deine Treiberversion.";"Vous utilisez un pilote obsolète. Cela peut provoquer des erreurs. Veuillez mettre à jour la version de votre pilote.";"Estás utilizando un controlador obsoleto. Esto puede causar errores. Por favor, actualiza la versión de tu controlador.";"ドライバーの\t有効期間が\t過ぎています。\tエラーが\t発生する\t可能性があるので\tドライバーを\tアップデートしてください。";"오래된 드라이버를 사용중입니다. 오류가 발생할 수 있습니다. 드라이버 버전을 업데이트 하시기 바랍니다.";"驱\t动\t程\t序\t版\t本\t过\t期，\t继\t续\t使\t用\t可\t能\t会\t导\t致\t错\t误，\t请\t升\t级\t驱\t动\t程\t序。";"注\t意！\t当\t前\t驱\t动\t程\t序\t版\t本\t已\t经\t过\t期，\t继\t续\t使\t用\t可\t能\t会\t导\t致\t错\t误。\t推\t荐\t前\t往\t显\t卡\t官\t网\t升\t级\t更\t新\t驱\t动\t程\t序。";"Używasz przestarzałego sterownika. Może to powodować problemy. Zaktualizuj swój sterownik."
"video/outdated_driver_hdr";"Error";"Ошибка";"Fehler";"Erreur";"Error";"エラー";"오류";"错\t误";"错\t误";"Błąd"
"video/previous_run_failed_caption";"Crash during the previous launch";"Сбой во время предыдущего запуска";"Absturz während des letzten Starts";"Crash au lancement précédent";"Fallo durante el lanzamiento anterior";"前回起動中に\tクラッシュしました";"이전 실행 중 충돌이 발생했습니다.";"上\t一\t次\t登\t录\t时\t游\t戏\t崩\t溃";"上\t一\t次\t启\t动\t时\t崩\t溃";"Błąd podczas poprzedniego uruchomienia"
"video/previous_run_failed_text";"We have detected that the game crashed during the previous startup. The Graphics API settings were reset to ""auto"" to be safe. You can change these settings if required.";"Мы обнаружили сбой во время предыдущего запуска игры. По соображениям безопасности, графический API был возвращён к настройкам по умолчанию. При необходимости вы можете поменять данные настройки.";"Wir haben festgestellt, dass das Spiel während des letzten Starts abgestürzt ist. Die Grafik-API-Einstellungen wurden sicherheitshalber auf ""auto"" zurückgesetzt. Du kannst diese Einstellungen bei Bedarf ändern.";"Nous avons détecté que le jeu a planté lors du démarrage précédent. Les paramètres de l'API graphique ont été réinitialisés sur ""auto"" pour plus de sécurité. Vous pouvez modifier ces paramètres si nécessaire.";"Hemos detectado que el juego ha fallado durante el arranque anterior. La configuración de la API de gráficos se ha restablecido a ""auto"" para estar seguros. Puedes cambiar estos ajustes si es necesario.";"前回の\t起動時に\tゲームが\tクラッシュしたことを\t検出しました。\t グラフィック\tAPI\t設定は、\t安全のために「自動」\tに\tリセットされました。\t 必要に\t応じてこれらの\t設定を\t変更できます。";"게임 충돌 기록을 확인했습니다. 게임 안정성을 위해 그래픽 API 설정이 자동으로 재설정되었습니다. 필요시 설정에서 다시 변경하실 수 있습니다.";"检\t测\t到\t游\t戏\t在\t上\t一\t次\t启\t动\t过\t程\t中\t程\t序\t崩\t溃。\t显\t示\t相\t关\t的\t设\t置\t自\t动\t被\t设\t置\t为\t“自\t动”，\t确\t保\t程\t序\t能\t正\t常\t运\t行。\t您\t可\t以\t稍\t后\t根\t据\t需\t要\t自\t行\t调\t整\t设\t置。";"我\t们\t检\t测\t到\t上\t一\t次\t启\t动\t时\t游\t戏\t崩\t溃\t了。\t为\t了\t确\t保\t游\t戏\t运\t行，\t显\t卡 API 设\t置\t重\t置\t为\t“自\t动”。\t随\t后\t你\t可\t以\t手\t动\t调\t整\t设\t置。";"Wykryliśmy, że gra zawiesiła się podczas poprzedniego uruchomienia. Ustawienia API grafiki zostały zresetowane do „auto”, aby zapewnić bezpieczeństwo. W razie potrzeby możesz zmienić te ustawienia."
"video/outdated_driver_lnk";"Visit https://support.gaijin.net/hc/en-us/articles/4405867465489";"Посетите https://support.gaijin.net/hc/ru/articles/4405867465489";"Besuche https://support.gaijin.net/hc/en-us/articles/4405867465489";"Visitez https://support.gaijin.net/hc/en-us/articles/4405867465489";"Visita https://support.gaijin.net/hc/en-us/articles/4405867465489";"参照 https://support.gaijin.net/hc/en-us/articles/4405867465489";"https://support.gaijin.net/hc/en-us/articles/4405867465489 를 확인해주세요";"请\t访\t问 https://support.gaijin.net/hc/en-us/articles/4405867465489 以\t获\t得\t更\t多\t信\t息。";"访\t问\t网\t站：\thttps://support.gaijin.net/hc/en-us/articles/4405867465489";"Odwiedź https://support.gaijin.net/hc/en-us/articles/4405867465489"
"ConnErr/CONNECTION_CLOSED";"Connection closed";"Соединение закрыто";"Verbindung geschlossen";"Connexion terminée";"Conexión cerrada";"接続が\tクローズされました";"연결 종료";"连\t接\t关\t闭";"出\t现\t了\t错\t误，\t与\t当\t前\t对\t局\t的\t连\t接\t关\t闭，\t如\t多\t次\t出\t现\t该\t情\t况\t请\t加\t入\tQ\t群\t寻\t求\t帮\t助，\t或\t者\t联\t系\t客\t服！";"Połączenie zakończone"
"ConnErr/CONNECTION_LOST";"Connection lost";"Соединение потеряно";"Verbindung unterbrochen";"Connexion perdue";"Se ha perdido la conexión";"接続が\t切れました";"연결 끊김";"连\t接\t中\t断";"网\t络\t不\t稳\t定，\t与\t当\t前\t对\t战\t失\t去\t连\t接，\t请\t检\t查\t网\t络\t配\t置\t以\t及\t官\t方\t维\t护\t情\t况！";"Połączenie przerwane"
"ConnErr/CONNECT_FAILED";"Connection failed";"Не удалось подключиться";"Verbindung fehlgeschlagen";"Connexion échouée";"Conexión fallida";"接続できませんでした";"연결 실패";"连\t接\t失\t败";"网\t络\t不\t稳\t定，\t出\t现\t连\t接\t失\t败\t问\t题，\t请\t检\t查\t个\t人\t网\t络\t情\t况\t以\t及\t维\t护\t公\t告！";"Połączenie nie udane"
"ConnErr/CONNECT_FAILED_PROTO_MISMATCH";"Protocol version mismatch. Try updating the game.";"Несовместимый протокол. Попробуйте обновить игру.";"Konflikt bei der Protokollversion. Versuche, dein Spiel zu aktualisieren.";"Incompatibilité de version du protocole. Merci d'essayer de mettre à jour le jeu.";"Error en la versión del protocolo. Intenta actualizar el juego.";"プロトコルバージョンが\t合致しません。\tゲームを\tアップデートしてみてください。";"프로토콜 버전이 일치하지 않습니다. 게임을 업데이트하세요.";"与\t服\t务\t器\t版\t本\t不\t一\t致，\t请\t尝\t试\t更\t新\t游\t戏。";"当\t前\t运\t行\t版\t本\t需\t要\t进\t行\t更\t新，\t请\t重\t启\t游\t戏\t更\t新\t后\t运\t行！";"Niezgodność wersji protokołu. Spróbuj zaktualizować grę."
"ConnErr/UNKNOWN";"Unknown error";"Неизвестная ошибка";"Unbekannter Fehler";"Erreur inconnue";"Error desconocido";"不明な\tエラー";"알 수 없는 오류";"未\t知\t错\t误";"出\t现\t了\t一\t个\t未\t知\t错\t误，\t可\t以\t重\t启\t游\t戏\t以\t试\t图\t解\t决。\t如\t反\t复\t出\t现\t此\t问\t题\t请\t加\t入\tQ\t群\t寻\t求\t帮\t助\t或\t者\t联\t系\t客\t服。";"Nieznany błąd"
